"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","1","102","52","0","2019","A","",1239,54056,4580927819,0,0,1630,84744,"",1.62,1.45,1.77,0.00,0.00,1.22,1.22,"",43,3.6,1053,2.0,159237985,3.6,0,0.0,0,0.0,26,1.6,1320,1.6
"01000","2","102","52","0","2019","A","",1375,98096,5429266440,175728,5780,1064,55347,"",1.60,1.59,1.70,0.00,0.03,1.07,1.07,"",-4,-0.3,1633,1.7,234492648,4.5,80907,85.3,2038,54.5,28,2.7,1494,2.8
"01000","3","102","52","0","2019","A","",3687,214877,9299186575,133924345,1142349,832,43277,"",1.75,1.13,1.12,0.63,1.15,0.99,0.99,"",-14,-0.4,909,0.4,328092690,3.7,40938,0.0,-91849,-7.4,26,3.2,1350,3.2
"01000","5","102","52","0","2019","A","",105569,1240954,55787081370,11708533766,132544364,865,44955,"",0.97,0.89,0.84,0.96,0.95,0.95,0.95,"",1896,1.8,17227,1.4,2446473011,4.6,264882874,2.3,-7021425,-5.0,27,3.2,1366,3.1
"01001","1","102","72","0","2019","A","",12,82,4466579,0,0,1043,54250,"",2.29,0.39,0.37,0.00,0.00,0.94,0.94,"",0,0.0,-6,-6.8,-13736,-0.3,0,0.0,0,0.0,67,6.9,3482,6.9
"01001","2","102","72","0","2019","A","",19,582,25879210,0,0,856,44491,"",3.21,1.69,1.75,0.00,0.00,1.04,1.04,"",0,0.0,10,1.7,1470856,6.0,0,0.0,0,0.0,36,4.4,1850,4.3
"01001","3","102","72","0","2019","A","",32,1911,73489430,148870,878,740,38458,"",2.21,1.80,1.91,0.14,0.19,1.06,1.06,"",0,0.0,5,0.3,2964657,4.2,1662,1.1,10,1.2,29,4.1,1461,3.9
"01001","5","102","72","0","2019","A","",692,6247,207966857,53353055,537577,640,33292,"",0.93,0.80,0.68,0.90,0.83,0.85,0.85,"",23,3.4,91,1.5,17292009,9.1,1332424,2.6,-13326,-2.4,44,7.4,2316,7.5
"01003","1","102","72","0","2019","A","",35,361,21126528,0,0,1126,58576,"",0.92,0.25,0.27,0.00,0.00,1.07,1.07,"",2,6.1,8,2.3,-119731,-0.6,0,0.0,0,0.0,-32,-2.8,-1640,-2.7
"01003","2","102","72","0","2019","A","",38,1179,47424852,0,0,773,40213,"",0.88,0.50,0.49,0.00,0.00,0.99,0.99,"",0,0.0,-41,-3.4,448242,1.0,0,0.0,0,0.0,33,4.5,1718,4.5
"01003","3","102","72","0","2019","A","",89,8303,357099365,5624972,36299,827,43009,"",0.84,1.14,1.42,0.65,0.98,1.25,1.25,"",4,4.7,278,3.5,21839979,6.5,570125,11.3,4752,15.1,24,3.0,1230,2.9
"01003","5","102","72","0","2019","A","",5366,57093,2012466148,538176758,6008623,678,35249,"",0.99,1.06,1.01,1.08,1.15,0.95,0.95,"",134,2.6,2001,3.6,149513077,8.0,22426361,4.3,65350,1.1,28,4.3,1434,4.2
"01005","1","102","72","0","2019","A","",8,54,3091895,0,0,1103,57346,"",2.41,0.35,0.38,0.00,0.00,1.08,1.08,"",1,14.3,4,8.0,222631,7.8,0,0.0,0,0.0,-4,-0.4,-231,-0.4
"01005","2","102","72","0","2019","A","",18,609,26696524,0,0,843,43843,"",4.81,2.38,2.63,0.00,0.00,1.10,1.10,"",0,0.0,14,2.4,1093760,4.3,0,0.0,0,0.0,15,1.8,795,1.8
"01005","3","102","72","0","2019","A","",31,980,35040906,785944,12675,687,35744,"",3.39,1.25,1.33,0.93,3.06,1.07,1.07,"",0,0.0,14,1.4,1351855,4.0,97378,14.1,2726,27.4,16,2.4,857,2.5
"01005","5","102","72","0","2019","A","",417,3684,116298670,33239640,419492,607,31572,"",0.88,0.64,0.55,0.68,0.72,0.87,0.87,"",6,1.5,135,3.8,-3222775,-2.7,-331315,-1.0,-5260,-1.2,-41,-6.3,-2109,-6.3
"01007","1","102","72","0","2019","A","",10,64,4201793,0,0,1258,65398,"",4.58,0.74,0.80,0.00,0.00,1.07,1.07,"",1,11.1,-5,-7.2,-408912,-8.9,0,0.0,0,0.0,-21,-1.6,-1103,-1.7
"01007","2","102","72","0","2019","A","",13,233,12052996,0,0,996,51767,"",5.28,1.63,1.85,0.00,0.00,1.13,1.13,"",0,0.0,16,7.4,2132297,21.5,0,0.0,0,0.0,116,13.2,6032,13.2
"01007","3","102","72","0","2019","A","",31,972,32922442,551004,3251,652,33882,"",5.15,2.21,1.94,1.22,1.11,0.88,0.88,"",0,0.0,7,0.7,1019407,3.2,78388,16.6,-1919,-37.1,17,2.7,836,2.5
"01007","5","102","72","0","2019","A","",243,1881,65906517,17611273,222534,674,35032,"",0.78,0.58,0.49,0.68,0.54,0.84,0.84,"",-10,-4.0,45,2.5,5460797,9.0,1025832,6.2,28115,14.5,41,6.5,2111,6.4
"01009","1","102","72","0","2019","A","",10,84,4396841,0,0,1012,52604,"",2.16,0.52,0.53,0.00,0.00,1.03,1.03,"",0,0.0,0,0.0,-126686,-2.8,0,0.0,0,0.0,-24,-2.3,-1248,-2.3
"01009","2","102","72","0","2019","A","",11,163,5929434,0,0,701,36470,"",2.10,0.60,0.58,0.00,0.00,0.96,0.96,"",0,0.0,0,0.0,277278,4.9,0,0.0,0,0.0,33,4.9,1723,5.0
"01009","3","102","72","0","2019","A","",44,1840,65120799,929726,9403,681,35392,"",3.43,2.21,2.43,1.17,2.92,1.10,1.10,"",0,0.0,126,7.4,2554671,4.1,44334,5.0,-700,-6.9,-21,-3.0,-1116,-3.1
"01009","5","102","72","0","2019","A","",552,4616,152459986,39672478,376050,635,33026,"",0.83,0.75,0.72,0.87,0.83,0.95,0.95,"",0,0.0,-5,-0.1,2571017,1.7,-136909,-0.3,-23488,-5.9,11,1.8,588,1.8
"01011","1","102","72","0","2019","A","",6,39,2064117,0,0,1024,53268,"",5.72,0.71,0.70,0.00,0.00,1.00,1.00,"",1,20.0,4,11.4,117705,6.0,0,0.0,0,0.0,-38,-3.6,-1949,-3.5
"01011","2","102","72","0","2019","A","",10,243,11764378,0,0,933,48513,"",8.44,2.66,3.24,0.00,0.00,1.22,1.22,"",0,0.0,7,3.0,580943,5.2,0,0.0,0,0.0,23,2.5,1192,2.5
"01011","3","102","72","0","2019","A","",14,352,12542645,0,0,685,35624,"",4.83,1.25,1.33,0.00,0.00,1.07,1.07,"",0,0.0,-34,-8.8,225776,1.8,0,0.0,0,0.0,71,11.6,3674,11.5
"01011","5","102","72","0","2019","A","",119,1219,42599013,11063147,117984,672,34948,"",0.79,0.59,0.57,0.63,0.50,0.97,0.97,"",13,12.3,85,7.5,6791340,19.0,452781,4.3,12962,12.3,65,10.7,3360,10.6
"01013","1","102","72","0","2019","A","",6,43,1965288,0,0,888,46152,"",2.09,0.33,0.30,0.00,0.00,0.92,0.92,"",1,20.0,3,7.5,69208,3.7,0,0.0,0,0.0,-31,-3.4,-1648,-3.4
"01013","2","102","72","0","2019","A","",12,98,4393930,0,0,861,44760,"",3.71,0.46,0.55,0.00,0.00,1.19,1.19,"",0,0.0,-1,-1.0,24101,0.6,0,0.0,0,0.0,15,1.8,768,1.7
"01013","3","102","72","0","2019","A","",23,769,27333404,202590,1193,684,35544,"",2.91,1.16,1.30,0.26,0.29,1.12,1.12,"",-1,-4.2,-10,-1.3,11388,0.0,-10199,-4.8,-1308,-52.3,9,1.3,448,1.3
"01013","5","102","72","0","2019","A","",368,4174,126012247,38722909,480543,581,30193,"",0.90,0.86,0.76,0.87,0.83,0.88,0.88,"",2,0.5,164,4.1,5960528,5.0,3094599,8.7,38974,8.8,5,0.9,257,0.9
"01015","1","102","72","0","2019","A","",45,4119,281211637,0,0,1313,68276,"",3.00,4.94,5.73,0.00,0.00,1.16,1.16,"",0,0.0,416,11.2,37641986,15.5,0,0.0,0,0.0,48,3.8,2503,3.8
"01015","2","102","72","0","2019","A","",28,1719,82220573,0,0,920,47844,"",1.66,1.24,1.35,0.00,0.00,1.09,1.09,"",1,3.7,33,2.0,3407398,4.3,0,0.0,0,0.0,21,2.3,1094,2.3
"01015","3","102","72","0","2019","A","",71,6330,258692263,1300599,10875,786,40867,"",1.72,1.49,1.64,0.32,0.61,1.10,1.10,"",-1,-1.4,-170,-2.6,-103278,0.0,44393,3.5,-829,-7.1,20,2.6,1055,2.6
"01015","5","102","72","0","2019","A","",2063,24551,800801911,227837123,2462164,627,32618,"",0.97,0.78,0.64,0.98,0.99,0.81,0.81,"",-9,-0.4,-264,-1.1,14338375,1.8,-1138292,-0.5,-202486,-7.6,18,3.0,925,2.9
"01017","1","102","72","0","2019","A","",6,53,2742607,0,0,989,51424,"",1.63,0.33,0.31,0.00,0.00,0.93,0.92,"",1,20.0,1,1.9,70283,2.6,0,0.0,0,0.0,-9,-0.9,-466,-0.9
"01017","2","102","72","0","2019","A","",14,146,5556606,0,0,731,38037,"",3.38,0.56,0.51,0.00,0.00,0.92,0.92,"",-1,-6.7,1,0.7,370660,7.1,0,0.0,0,0.0,43,6.2,2251,6.3
"01017","3","102","72","0","2019","A","",57,1648,68698249,474391,2797,802,41688,"",5.62,2.03,2.42,0.56,0.84,1.19,1.19,"",-1,-1.7,7,0.4,5147392,8.1,-15672,-3.2,-97,-3.4,57,7.7,2951,7.6
"01017","5","102","72","0","2019","A","",447,4113,124998486,36313872,395528,584,30389,"",0.85,0.69,0.55,0.75,0.85,0.80,0.80,"",22,5.2,124,3.1,2671415,2.2,2347990,6.9,14126,3.7,-6,-1.0,-275,-0.9
"01019","1","102","72","0","2019","A","",9,47,2223784,0,0,910,47315,"",3.71,0.48,0.45,0.00,0.00,0.94,0.94,"",1,12.5,0,0.0,-94776,-4.1,0,0.0,0,0.0,-45,-4.7,-2368,-4.8
"01019","2","102","72","0","2019","A","",11,89,3731899,0,0,803,41775,"",4.01,0.55,0.62,0.00,0.00,1.12,1.12,"",0,0.0,-6,-6.3,-70520,-1.9,0,0.0,0,0.0,34,4.4,1785,4.5
"01019","3","102","72","0","2019","A","",24,1168,42187006,537694,6297,694,36106,"",3.58,2.34,2.68,1.02,2.23,1.14,1.14,"",0,0.0,17,1.5,1400642,3.4,82303,18.1,1126,21.8,12,1.8,668,1.9
"01019","5","102","72","0","2019","A","",302,2689,86268696,26270356,274326,617,32082,"",0.87,0.73,0.69,0.87,0.69,0.94,0.94,"",-2,-0.7,-48,-1.8,693074,0.8,-893242,-3.3,-57164,-17.2,16,2.7,814,2.6
"01021","1","102","72","0","2019","A","",7,65,2999506,0,0,885,46028,"",1.45,0.36,0.30,0.00,0.00,0.83,0.83,"",1,16.7,2,3.2,155590,5.5,0,0.0,0,0.0,12,1.4,646,1.4
"01021","2","102","72","0","2019","A","",14,251,11175034,0,0,857,44566,"",2.57,0.85,0.91,0.00,0.00,1.07,1.07,"",0,0.0,7,2.9,541892,5.1,0,0.0,0,0.0,18,2.1,958,2.2
"01021","3","102","72","0","2019","A","",35,1541,56149082,1968221,11982,701,36443,"",2.63,1.69,1.76,2.04,3.05,1.04,1.04,"",1,2.9,36,2.4,2190087,4.1,-52067,-2.6,-1070,-8.2,12,1.7,590,1.6
"01021","5","102","72","0","2019","A","",589,4861,163646298,42567209,412286,647,33663,"",0.86,0.72,0.64,0.77,0.75,0.89,0.89,"",14,2.4,-55,-1.1,2724114,1.7,-1557120,-3.5,-47221,-10.3,17,2.7,926,2.8
